Orszag;terulet
Spanyolország;504782
Portugália;92082
Franciaország;547026
Nagy-Britannia;244046
Norvégia;324219
Svédország;449964
Finnország;338107
Németország;357042
Svájc;41293
Ausztria;83858
Olaszország;301252
Magyarország;93036
Szerbia;88361
Bulgária;110912
Románia;237500
Szlovákia;49036
Csehország;78864
Lengyelország;312677
Oroszország;17075400
Görögország;131944
Törökország;780576
Dánia;43075
Izland;102829
Albánia;28748
Belgium;30519
Hollandia;41548
Luxemburg;2586.40
Liechtenstein;160
Málta;316
Ciprus;9251
Írország;70283
Egyiptom;1001449
Marokkó;446550
India;3287590
Japán;372769
Kína;9608378
Kanada;9976139
Mexikó;1972547
Kuba;110922
Brazília;8511965
Argentína;2776889
Nepál;140797
Algéria;2381741
Kenya;582646
Monaco;1.95
Andorra;468
Izrael;20770
Libanon;10400
Ausztrália;7686420
Tunézia;163610
Líbia;1759540
Etiópia;1130138
Eritrea;121320
Kongó (Zaire);2345409
Irak;438466
Irán;1648000
Szíria;185180
Jordánia;97740
Madagaszkár;587041
Chile;756626
Peru;1285216
Ecuador;283561
Uruguay;176215
Bolívia;1098581
Paraguay;406752
Kolumbia;1138914
Venezuela;912050
Guyana;214699
Suriname;163265
Vatikán;0.44
Pakisztán;803943
Afganisztán;652225
Banglades;147570
Bhután;47000
Mianmar (Burma);678528
Thaiföld;513115
Kambodzsa;181035
Vietnam;329556
Laosz;236800
Malajzia;329749
Indonézia;1919443
Botswana;600372
Lesotho;30355
Zimbabwe;390622
Zambia;752614
Namíbia;823168
Mozambik;799380
Malawi;118484
Angola;1246700
Tanzánia;945087
Mongólia;1565000
Belize;22965
Honduras;112088
Salvador;21041
Nicaragua;130000
Panama;75650
Guatemala;108889
Bahama-szigetek;13939
Jamaica;10991
Benin;112622
Csád;1284000
Gabon;267667
Ghána;238537
Guinea;245857
Kamerun;475442
Kongói Köztársaság;342000
Libéria;111369
Mali;1240142
Mauritánia;1030700
Niger;1267000
Nigéria;923768
Ruanda;26338
Szenegál;196192
Szomália;637657
Szudán;2505813
Szváziföld;17364
Togo;56785
Uganda;236036
Dél-afrikai Köztársaság;1221037
Burkina Faso;274200
Sierra Leone;71740
Új-Zéland;269112
Sri lanka;65610
Szaud-Arábia;2149690
Amerikai Egyesült Államok;9809155
Fülöp-szigetek;300000
Katar;11437
Omán;212457
Fidzsi-szigetek;18272
Szamoa;2842
Dél-Korea;98484
Észak-Korea;120538
Vanuatu;14763
Tuvalu;26
Tonga;748
Nauru;21.30
Kiribati;886
Saint Lucia;616
Saint Vincent és Grenadine;389
Barbados;430
Grenada;344
San Marino;60.57
Szingapúr;641
Egyesült Arab Emírségek;83600
Kuvait;17818
Bahrein;678
Dzsibuti;21783
Gambia;11295
Bissau-Guinea;36125
Burundi;27834
Comore-szigetek;1862
Mauritius;2045
Jemen;528000
Maldiv-szigetek;298
Costa Rica;51100
Salamon-szigetek;28446
Trinidad és Tobago;5128
Zöld-foki Köztársaság;4033
Seychelle-szigetek;454
Antigua és Barbuda;443
Dominikai Köztársaság;48734
Dominikai közösség;751
Egyenlítői-Guinea;28051
Elefántcsontpart;322463
Haiti;27750
Pápua Új-Guinea;461691
Közép-afrikai Köztársaság;622984
São Tomé és Príncipe;1001
Brunei;5765
Saint Kitts és Nevis;266
Ukrajna;603700
Litvánia;65300
Lettország;64589
Észtország;45227
Horvátország;56538
Szlovénia;20253
Bosznia-Hercegovina;51129
Macedónia;25713
Azerbajdzsán;86600
Grúzia;69700
Örményország;29800
Belarusz;207600
Moldova;33700
Üzbegisztán;447400
Kazahsztán;2717300
Kirgizisztán;198500
Tádzsikisztán;143100
Türkmenisztán;488100
Tajvan;36000
Palau;508
Kelet-Timor;15007
Marshall-szigetek;180
Mikronézia;702
Montenegro;14026